Date : 2025-04-19 14:11:42
Directory : e:\taroDemos\cloudmate\src
Total : 238 files,  10285 codes, 189 comments, 1619 blanks, all 12093 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| pages\approval\types                                                                                     |          1 |         11 |          0 |          4 |         15 |
| pages\approval\utils                                                                                     |          2 |        134 |          0 |         28 |        162 |
| pages\approval\views                                                                                     |         16 |        943 |         10 |        127 |      1,080 |
| pages\approval\views\create                                                                              |          1 |        109 |          0 |         10 |        119 |
| pages\approval\views\detail                                                                              |          7 |        493 |          8 |         63 |        564 |
| pages\approval\views\detail (Files)                                                                      |          3 |        264 |          8 |         35 |        307 |
| pages\approval\views\detail\components                                                                   |          2 |         96 |          0 |          9 |        105 |
| pages\approval\views\detail\components\flow                                                              |          2 |         96 |          0 |          9 |        105 |
| pages\approval\views\detail\hooks                                                                        |          2 |        133 |          0 |         19 |        152 |
| pages\approval\views\home                                                                                |          2 |        118 |          1 |         20 |        139 |
| pages\approval\views\process                                                                             |          6 |        223 |          1 |         34 |        258 |
| pages\approval\views\process (Files)                                                                     |          2 |        124 |          1 |         18 |        143 |
| pages\approval\views\process\components                                                                  |          4 |         99 |          0 |         16 |        115 |
| pages\approval\views\process\components\approval-item                                                    |          2 |         65 |          0 |         10 |         75 |
| pages\approval\views\process\components\process-tag                                                      |          2 |         34 |          0 |          6 |         40 |
| pages\chat                                                                                               |         24 |      1,378 |         14 |        189 |      1,581 |
| pages\chat (Files)                                                                                       |          3 |         62 |          0 |         12 |         74 |
| pages\chat\components                                                                                    |         11 |        650 |          7 |         79 |        736 |
| pages\chat\components\chat-composer                                                                      |          2 |        151 |          4 |         16 |        171 |
| pages\chat\components\message-item                                                                       |          9 |        499 |          3 |         63 |        565 |
| pages\chat\components\message-item (Files)                                                               |          3 |        152 |          0 |         20 |        172 |
| pages\chat\components\message-item\components                                                            |          6 |        347 |          3 |         43 |        393 |
| pages\chat\components\message-item\components\approval                                                   |          6 |        347 |          3 |         43 |        393 |
| pages\chat\components\message-item\components\approval\done                                              |          2 |         99 |          1 |         14 |        114 |
| pages\chat\components\message-item\components\approval\init                                              |          2 |         99 |          1 |         13 |        113 |
| pages\chat\components\message-item\components\approval\next                                              |          2 |        149 |          1 |         16 |        166 |
| pages\chat\hooks                                                                                         |          1 |         20 |          1 |          8 |         29 |
| pages\chat\views                                                                                         |          9 |        646 |          6 |         90 |        742 |
| pages\chat\views\main-content                                                                            |          2 |        183 |          2 |         28 |        213 |
| pages\chat\views\setting                                                                                 |          7 |        463 |          4 |         62 |        529 |
| pages\chat\views\setting (Files)                                                                         |          3 |        129 |          1 |         20 |        150 |
| pages\chat\views\setting\components                                                                      |          4 |        334 |          3 |         42 |        379 |
| pages\chat\views\setting\components\chat-record                                                          |          4 |        334 |          3 |         42 |        379 |
| pages\chat\views\setting\components\chat-record\date                                                     |          2 |        197 |          2 |         21 |        220 |
| pages\chat\views\setting\components\chat-record\keywords                                                 |          2 |        137 |          1 |         21 |        159 |
| pages\company                                                                                            |         10 |        309 |          4 |         53 |        366 |
| pages\company (Files)                                                                                    |          1 |         16 |          0 |          4 |         20 |
| pages\company\views                                                                                      |          9 |        293 |          4 |         49 |        346 |
| pages\company\views\attendance                                                                           |          7 |        235 |          2 |         42 |        279 |
| pages\company\views\attendance (Files)                                                                   |          3 |         29 |          0 |          7 |         36 |
| pages\company\views\attendance\components                                                                |          4 |        206 |          2 |         35 |        243 |
| pages\company\views\attendance\components\atd-button                                                     |          2 |         57 |          2 |          9 |         68 |
| pages\company\views\attendance\components\atd-record                                                     |          2 |        149 |          0 |         26 |        175 |
| pages\company\views\time                                                                                 |          2 |         58 |          2 |          7 |         67 |
| pages\file                                                                                               |         24 |      1,076 |         22 |        178 |      1,276 |
| pages\file (Files)                                                                                       |          3 |         58 |          0 |         14 |         72 |
| pages\file\components                                                                                    |         14 |        710 |         12 |        117 |        839 |
| pages\file\components\action-sheet                                                                       |          4 |        243 |          6 |         38 |        287 |
| pages\file\components\action-sheet\edit-file                                                             |          2 |        144 |          6 |         23 |        173 |
| pages\file\components\action-sheet\new-folder                                                            |          2 |         99 |          0 |         15 |        114 |
| pages\file\components\breadcrumbs                                                                        |          2 |         72 |          1 |         13 |         86 |
| pages\file\components\file-list                                                                          |          4 |        187 |          0 |         31 |        218 |
| pages\file\components\file-list (Files)                                                                  |          2 |         53 |          0 |         12 |         65 |
| pages\file\components\file-list\components                                                               |          2 |        134 |          0 |         19 |        153 |
| pages\file\components\file-list\components\file-item                                                     |          2 |        134 |          0 |         19 |        153 |
| pages\file\components\modal                                                                              |          2 |         80 |          0 |         15 |         95 |
| pages\file\components\modal\file-rename                                                                  |          2 |         80 |          0 |         15 |         95 |
| pages\file\components\tools                                                                              |          2 |        128 |          5 |         20 |        153 |
| pages\file\hooks                                                                                         |          3 |        142 |          0 |         21 |        163 |
| pages\file\utils                                                                                         |          1 |          4 |          0 |          1 |          5 |
| pages\file\views                                                                                         |          3 |        162 |         10 |         25 |        197 |
| pages\file\views\main-content                                                                            |          1 |         52 |          0 |          9 |         61 |
| pages\file\views\search-file                                                                             |          2 |        110 |         10 |         16 |        136 |
| pages\group                                                                                              |         10 |        287 |          0 |         51 |        338 |
| pages\group (Files)                                                                                      |          3 |         57 |          0 |         11 |         68 |
| pages\group\components                                                                                   |          7 |        230 |          0 |         40 |        270 |
| pages\group\components\contacts                                                                          |          2 |        132 |          0 |         21 |        153 |
| pages\group\components\header                                                                            |          1 |         30 |          0 |          6 |         36 |
| pages\group\components\tools                                                                             |          4 |         68 |          0 |         13 |         81 |
| pages\group\components\tools (Files)                                                                     |          2 |         39 |          0 |          7 |         46 |
| pages\group\components\tools\search-bar                                                                  |          2 |         29 |          0 |          6 |         35 |
| pages\index                                                                                              |          3 |         60 |         28 |         10 |         98 |
| pages\login                                                                                              |          2 |        143 |          0 |         16 |        159 |
| pages\not-found                                                                                          |          1 |          7 |          0 |          3 |         10 |
| pages\profile                                                                                            |          6 |        185 |          0 |         30 |        215 |
| pages\profile (Files)                                                                                    |          2 |         81 |          0 |         11 |         92 |
| pages\profile\components                                                                                 |          4 |        104 |          0 |         19 |        123 |
| pages\profile\components\featrue                                                                         |          2 |         48 |          0 |         11 |         59 |
| pages\profile\components\user-detail                                                                     |          2 |         56 |          0 |          8 |         64 |
| socket                                                                                                   |          1 |        112 |          1 |         27 |        140 |
| store                                                                                                    |         16 |        279 |         69 |         75 |        423 |
| store (Files)                                                                                            |          1 |         22 |          0 |          4 |         26 |
| store\reducers                                                                                           |          8 |        228 |         66 |         47 |        341 |
| store\selectors                                                                                          |          7 |         29 |          3 |         24 |         56 |
| style                                                                                                    |          1 |          5 |          0 |          1 |          6 |
| types                                                                                                    |          7 |        159 |          0 |         36 |        195 |
| utils                                                                                                    |          5 |         99 |          7 |         26 |        132 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                 | language       | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| e:\taroDemos\cloudmate\src\apis\approval.ts                                                              | TypeScript     |        110 |          0 |         11 |        121 |
| e:\taroDemos\cloudmate\src\apis\attandence.ts                                                            | TypeScript     |          9 |          0 |          5 |         14 |
| e:\taroDemos\cloudmate\src\apis\auth.ts                                                                  | TypeScript     |          7 |          0 |          2 |          9 |
| e:\taroDemos\cloudmate\src\apis\chat.ts                                                                  | TypeScript     |         57 |          0 |          4 |         61 |
| e:\taroDemos\cloudmate\src\apis\constants.ts                                                             | TypeScript     |          2 |          0 |          1 |          3 |
| e:\taroDemos\cloudmate\src\apis\contacts.ts                                                              | TypeScript     |         30 |          0 |          5 |         35 |
| e:\taroDemos\cloudmate\src\apis\request.ts                                                               | TypeScript     |         43 |          0 |         16 |         59 |
| e:\taroDemos\cloudmate\src\apis\share.ts                                                                 | TypeScript     |        115 |          0 |         17 |        132 |
| e:\taroDemos\cloudmate\src\apis\user.ts                                                                  | TypeScript     |          5 |          0 |          1 |          6 |
| e:\taroDemos\cloudmate\src\app.config.ts                                                                 | TypeScript     |         20 |          0 |          1 |         21 |
| e:\taroDemos\cloudmate\src\app.scss                                                                      | SCSS           |          0 |          0 |          1 |          1 |
| e:\taroDemos\cloudmate\src\app.tsx                                                                       | TypeScript JSX |         33 |          0 |          5 |         38 |
| e:\taroDemos\cloudmate\src\components\action-sheet\index.module.scss                                     | SCSS           |         61 |          2 |          9 |         72 |
| e:\taroDemos\cloudmate\src\components\action-sheet\index.tsx                                             | TypeScript JSX |         52 |          1 |          9 |         62 |
| e:\taroDemos\cloudmate\src\components\auth\index.tsx                                                     | TypeScript JSX |         34 |          0 |          8 |         42 |
| e:\taroDemos\cloudmate\src\components\avatar\index.module.scss                                           | SCSS           |         56 |          0 |          3 |         59 |
| e:\taroDemos\cloudmate\src\components\avatar\index.tsx                                                   | TypeScript JSX |         52 |          0 |          7 |         59 |
| e:\taroDemos\cloudmate\src\components\box\state-box\index.module.scss                                    | SCSS           |          4 |          0 |          1 |          5 |
| e:\taroDemos\cloudmate\src\components\box\state-box\index.tsx                                            | TypeScript JSX |         19 |          0 |          7 |         26 |
| e:\taroDemos\cloudmate\src\components\button\index.module.scss                                           | SCSS           |         21 |          0 |          4 |         25 |
| e:\taroDemos\cloudmate\src\components\button\index.tsx                                                   | TypeScript JSX |         23 |          0 |          6 |         29 |
| e:\taroDemos\cloudmate\src\components\checkbox\index.module.scss                                         | SCSS           |          3 |          0 |          1 |          4 |
| e:\taroDemos\cloudmate\src\components\checkbox\index.tsx                                                 | TypeScript JSX |         42 |          0 |          7 |         49 |
| e:\taroDemos\cloudmate\src\components\divider\index.module.scss                                          | SCSS           |         12 |          0 |          1 |         13 |
| e:\taroDemos\cloudmate\src\components\divider\index.tsx                                                  | TypeScript JSX |         16 |          0 |          4 |         20 |
| e:\taroDemos\cloudmate\src\components\drawer\index.module.scss                                           | SCSS           |        145 |          2 |         14 |        161 |
| e:\taroDemos\cloudmate\src\components\drawer\index.tsx                                                   | TypeScript JSX |         70 |          1 |         12 |         83 |
| e:\taroDemos\cloudmate\src\components\float-indicator\index.module.scss                                  | SCSS           |         25 |          0 |          3 |         28 |
| e:\taroDemos\cloudmate\src\components\float-indicator\index.tsx                                          | TypeScript JSX |         77 |          0 |         14 |         91 |
| e:\taroDemos\cloudmate\src\components\header\index.module.scss                                           | SCSS           |          7 |          0 |          1 |          8 |
| e:\taroDemos\cloudmate\src\components\header\index.tsx                                                   | TypeScript JSX |         19 |          1 |          6 |         26 |
| e:\taroDemos\cloudmate\src\components\icon\common\index.tsx                                              | TypeScript JSX |         18 |          0 |         10 |         28 |
| e:\taroDemos\cloudmate\src\components\icon\index.tsx                                                     | TypeScript JSX |          2 |          0 |          2 |          4 |
| e:\taroDemos\cloudmate\src\components\image-picker\index.module.scss                                     | SCSS           |         31 |          0 |          5 |         36 |
| e:\taroDemos\cloudmate\src\components\image-picker\index.tsx                                             | TypeScript JSX |         56 |          0 |         11 |         67 |
| e:\taroDemos\cloudmate\src\components\list\index.module.scss                                             | SCSS           |         32 |          0 |          6 |         38 |
| e:\taroDemos\cloudmate\src\components\list\index.tsx                                                     | TypeScript JSX |         32 |          0 |          9 |         41 |
| e:\taroDemos\cloudmate\src\components\loading\box\index.module.scss                                      | SCSS           |         16 |          0 |          2 |         18 |
| e:\taroDemos\cloudmate\src\components\loading\box\index.tsx                                              | TypeScript JSX |         20 |          0 |          7 |         27 |
| e:\taroDemos\cloudmate\src\components\loading\icon\index.module.scss                                     | SCSS           |         13 |          1 |          2 |         16 |
| e:\taroDemos\cloudmate\src\components\loading\icon\index.tsx                                             | TypeScript JSX |         13 |          0 |          4 |         17 |
| e:\taroDemos\cloudmate\src\components\modal\index.module.scss                                            | SCSS           |         49 |          0 |          5 |         54 |
| e:\taroDemos\cloudmate\src\components\modal\index.tsx                                                    | TypeScript JSX |         40 |          0 |          8 |         48 |
| e:\taroDemos\cloudmate\src\components\popover\index.d.ts                                                 | TypeScript     |         12 |          0 |          5 |         17 |
| e:\taroDemos\cloudmate\src\components\popover\index.module.scss                                          | SCSS           |          0 |          0 |          1 |          1 |
| e:\taroDemos\cloudmate\src\components\popover\index.tsx                                                  | TypeScript JSX |         82 |          0 |         14 |         96 |
| e:\taroDemos\cloudmate\src\components\popover\use-floating.ts                                            | TypeScript     |        122 |          0 |         13 |        135 |
| e:\taroDemos\cloudmate\src\components\radio\index.module.scss                                            | SCSS           |         17 |          0 |          5 |         22 |
| e:\taroDemos\cloudmate\src\components\radio\index.tsx                                                    | TypeScript JSX |         25 |          0 |          5 |         30 |
| e:\taroDemos\cloudmate\src\components\search\index.module.scss                                           | SCSS           |         12 |          0 |          1 |         13 |
| e:\taroDemos\cloudmate\src\components\search\index.tsx                                                   | TypeScript JSX |         18 |          0 |          4 |         22 |
| e:\taroDemos\cloudmate\src\components\tab-bar\constants.ts                                               | TypeScript     |         53 |          0 |          4 |         57 |
| e:\taroDemos\cloudmate\src\components\tab-bar\index.config.ts                                            | TypeScript     |          3 |          0 |          1 |          4 |
| e:\taroDemos\cloudmate\src\components\tab-bar\index.module.scss                                          | SCSS           |         77 |          3 |         11 |         91 |
| e:\taroDemos\cloudmate\src\components\tab-bar\index.tsx                                                  | TypeScript JSX |         48 |          2 |         11 |         61 |
| e:\taroDemos\cloudmate\src\components\textarea\index.module.scss                                         | SCSS           |          7 |          0 |          1 |          8 |
| e:\taroDemos\cloudmate\src\components\textarea\index.tsx                                                 | TypeScript JSX |         35 |          0 |          8 |         43 |
| e:\taroDemos\cloudmate\src\components\time-line\index.module.scss                                        | SCSS           |         33 |          0 |          5 |         38 |
| e:\taroDemos\cloudmate\src\components\time-line\index.tsx                                                | TypeScript JSX |         72 |          0 |         17 |         89 |
| e:\taroDemos\cloudmate\src\constants\http.ts                                                             | TypeScript     |          4 |          2 |          1 |          7 |
| e:\taroDemos\cloudmate\src\hooks\useDebounce.ts                                                          | TypeScript     |         36 |          0 |          6 |         42 |
| e:\taroDemos\cloudmate\src\hooks\useDebounceCallback.ts                                                  | TypeScript     |        155 |          1 |         27 |        183 |
| e:\taroDemos\cloudmate\src\hooks\useLoadRequest.ts                                                       | TypeScript     |         43 |          0 |          7 |         50 |
| e:\taroDemos\cloudmate\src\hooks\useSwipeNavigation.ts                                                   | TypeScript     |         50 |          0 |          7 |         57 |
| e:\taroDemos\cloudmate\src\hooks\useSwitchTab.ts                                                         | TypeScript     |         19 |          0 |          5 |         24 |
| e:\taroDemos\cloudmate\src\hooks\useSystemInit.ts                                                        | TypeScript     |         46 |          0 |         11 |         57 |
| e:\taroDemos\cloudmate\src\hooks\useTime.ts                                                              | TypeScript     |         39 |          1 |          8 |         48 |
| e:\taroDemos\cloudmate\src\index.html                                                                    | HTML           |         17 |          0 |          1 |         18 |
| e:\taroDemos\cloudmate\src\layout\common\index.module.scss                                               | SCSS           |         27 |          0 |          5 |         32 |
| e:\taroDemos\cloudmate\src\layout\common\index.tsx                                                       | TypeScript JSX |         40 |          0 |          5 |         45 |
| e:\taroDemos\cloudmate\src\pages\approval\components\dynamc-form\component-map.tsx                       | TypeScript JSX |         15 |          1 |          3 |         19 |
| e:\taroDemos\cloudmate\src\pages\approval\components\dynamc-form\index.d.ts                              | TypeScript     |         43 |          0 |          9 |         52 |
| e:\taroDemos\cloudmate\src\pages\approval\components\dynamc-form\index.module.scss                       | SCSS           |         48 |          0 |          8 |         56 |
| e:\taroDemos\cloudmate\src\pages\approval\components\dynamc-form\index.tsx                               | TypeScript JSX |         73 |          0 |          9 |         82 |
| e:\taroDemos\cloudmate\src\pages\approval\components\flow\components\edit-page.tsx                       | TypeScript JSX |         59 |          0 |          6 |         65 |
| e:\taroDemos\cloudmate\src\pages\approval\components\flow\components\index.d.ts                          | TypeScript     |         18 |          0 |          5 |         23 |
| e:\taroDemos\cloudmate\src\pages\approval\components\flow\components\index.module.scss                   | SCSS           |        156 |          0 |         21 |        177 |
| e:\taroDemos\cloudmate\src\pages\approval\components\flow\components\index.tsx                           | TypeScript JSX |        102 |          1 |         11 |        114 |
| e:\taroDemos\cloudmate\src\pages\approval\components\flow\components\removable-avatar.tsx                | TypeScript JSX |         29 |          0 |          5 |         34 |
| e:\taroDemos\cloudmate\src\pages\approval\components\flow\components\selected-page.tsx                   | TypeScript JSX |         86 |          0 |         11 |         97 |
| e:\taroDemos\cloudmate\src\pages\approval\components\flow\index.module.scss                              | SCSS           |         20 |          0 |          4 |         24 |
| e:\taroDemos\cloudmate\src\pages\approval\components\flow\index.tsx                                      | TypeScript JSX |         78 |          0 |          9 |         87 |
| e:\taroDemos\cloudmate\src\pages\approval\components\picker\common\index.module.scss                     | SCSS           |         51 |          0 |         10 |         61 |
| e:\taroDemos\cloudmate\src\pages\approval\components\picker\common\index.tsx                             | TypeScript JSX |         63 |          0 |         13 |         76 |
| e:\taroDemos\cloudmate\src\pages\approval\components\picker\date\context.tsx                             | TypeScript JSX |         17 |          0 |          4 |         21 |
| e:\taroDemos\cloudmate\src\pages\approval\components\picker\date\date-picker.tsx                         | TypeScript JSX |         74 |          0 |         10 |         84 |
| e:\taroDemos\cloudmate\src\pages\approval\components\picker\date\index.d.ts                              | TypeScript     |          8 |          0 |          1 |          9 |
| e:\taroDemos\cloudmate\src\pages\approval\components\picker\date\index.module.scss                       | SCSS           |        163 |          5 |         21 |        189 |
| e:\taroDemos\cloudmate\src\pages\approval\components\picker\date\index.tsx                               | TypeScript JSX |          4 |          0 |          2 |          6 |
| e:\taroDemos\cloudmate\src\pages\approval\components\picker\date\picker-selector.tsx                     | TypeScript JSX |         47 |          1 |         11 |         59 |
| e:\taroDemos\cloudmate\src\pages\approval\components\picker\date\segmented-control.tsx                   | TypeScript JSX |         29 |          0 |          4 |         33 |
| e:\taroDemos\cloudmate\src\pages\approval\components\picker\date\select-date.tsx                         | TypeScript JSX |        146 |          0 |         27 |        173 |
| e:\taroDemos\cloudmate\src\pages\approval\components\picker\date\select-time.tsx                         | TypeScript JSX |         62 |          0 |         10 |         72 |
| e:\taroDemos\cloudmate\src\pages\approval\components\picker\date\utils.ts                                | TypeScript     |         44 |          0 |         15 |         59 |
| e:\taroDemos\cloudmate\src\pages\approval\components\picker\image\index.module.scss                      | SCSS           |         15 |          0 |          3 |         18 |
| e:\taroDemos\cloudmate\src\pages\approval\components\picker\image\index.tsx                              | TypeScript JSX |         22 |          0 |          5 |         27 |
| e:\taroDemos\cloudmate\src\pages\approval\components\status-icon\index.module.scss                       | SCSS           |         14 |          0 |          1 |         15 |
| e:\taroDemos\cloudmate\src\pages\approval\components\status-icon\index.tsx                               | TypeScript JSX |         24 |          0 |          5 |         29 |
| e:\taroDemos\cloudmate\src\pages\approval\components\text\input\index.module.scss                        | SCSS           |         25 |          0 |          5 |         30 |
| e:\taroDemos\cloudmate\src\pages\approval\components\text\input\index.tsx                                | TypeScript JSX |         43 |          0 |          7 |         50 |
| e:\taroDemos\cloudmate\src\pages\approval\components\text\textarea\index.module.scss                     | SCSS           |         33 |          0 |          6 |         39 |
| e:\taroDemos\cloudmate\src\pages\approval\components\text\textarea\index.tsx                             | TypeScript JSX |         43 |          0 |          7 |         50 |
| e:\taroDemos\cloudmate\src\pages\approval\config\constants.ts                                            | TypeScript     |         72 |          0 |         15 |         87 |
| e:\taroDemos\cloudmate\src\pages\approval\config\create.ts                                               | TypeScript     |        518 |          0 |          6 |        524 |
| e:\taroDemos\cloudmate\src\pages\approval\config\detail.ts                                               | TypeScript     |        161 |          0 |         18 |        179 |
| e:\taroDemos\cloudmate\src\pages\approval\config\home.ts                                                 | TypeScript     |         49 |          0 |          4 |         53 |
| e:\taroDemos\cloudmate\src\pages\approval\config\process.ts                                              | TypeScript     |         23 |          0 |          2 |         25 |
| e:\taroDemos\cloudmate\src\pages\approval\context.tsx                                                    | TypeScript JSX |         15 |          0 |          4 |         19 |
| e:\taroDemos\cloudmate\src\pages\approval\index.tsx                                                      | TypeScript JSX |         23 |          9 |          2 |         34 |
| e:\taroDemos\cloudmate\src\pages\approval\types\index.d.ts                                               | TypeScript     |         11 |          0 |          4 |         15 |
| e:\taroDemos\cloudmate\src\pages\approval\utils\utils.ts                                                 | TypeScript     |         72 |          0 |         12 |         84 |
| e:\taroDemos\cloudmate\src\pages\approval\utils\validate.ts                                              | TypeScript     |         62 |          0 |         16 |         78 |
| e:\taroDemos\cloudmate\src\pages\approval\views\create\index.tsx                                         | TypeScript JSX |        109 |          0 |         10 |        119 |
| e:\taroDemos\cloudmate\src\pages\approval\views\detail\components\flow\index.module.scss                 | SCSS           |         38 |          0 |          4 |         42 |
| e:\taroDemos\cloudmate\src\pages\approval\views\detail\components\flow\index.tsx                         | TypeScript JSX |         58 |          0 |          5 |         63 |
| e:\taroDemos\cloudmate\src\pages\approval\views\detail\hooks\useApprovalActions.ts                       | TypeScript     |         87 |          0 |         11 |         98 |
| e:\taroDemos\cloudmate\src\pages\approval\views\detail\hooks\useApprovalDetail.ts                        | TypeScript     |         46 |          0 |          8 |         54 |
| e:\taroDemos\cloudmate\src\pages\approval\views\detail\index.d.ts                                        | TypeScript     |         68 |          7 |         12 |         87 |
| e:\taroDemos\cloudmate\src\pages\approval\views\detail\index.module.scss                                 | SCSS           |         77 |          1 |         10 |         88 |
| e:\taroDemos\cloudmate\src\pages\approval\views\detail\index.tsx                                         | TypeScript JSX |        119 |          0 |         13 |        132 |
| e:\taroDemos\cloudmate\src\pages\approval\views\home\index.module.scss                                   | SCSS           |         51 |          0 |          7 |         58 |
| e:\taroDemos\cloudmate\src\pages\approval\views\home\index.tsx                                           | TypeScript JSX |         67 |          1 |         13 |         81 |
| e:\taroDemos\cloudmate\src\pages\approval\views\process\components\approval-item\index.module.scss       | SCSS           |         29 |          0 |          3 |         32 |
| e:\taroDemos\cloudmate\src\pages\approval\views\process\components\approval-item\index.tsx               | TypeScript JSX |         36 |          0 |          7 |         43 |
| e:\taroDemos\cloudmate\src\pages\approval\views\process\components\process-tag\index.module.scss         | SCSS           |          7 |          0 |          1 |          8 |
| e:\taroDemos\cloudmate\src\pages\approval\views\process\components\process-tag\index.tsx                 | TypeScript JSX |         27 |          0 |          5 |         32 |
| e:\taroDemos\cloudmate\src\pages\approval\views\process\index.module.scss                                | SCSS           |         43 |          0 |          6 |         49 |
| e:\taroDemos\cloudmate\src\pages\approval\views\process\index.tsx                                        | TypeScript JSX |         81 |          1 |         12 |         94 |
| e:\taroDemos\cloudmate\src\pages\chat\components\chat-composer\index.module.scss                         | SCSS           |         41 |          4 |          3 |         48 |
| e:\taroDemos\cloudmate\src\pages\chat\components\chat-composer\index.tsx                                 | TypeScript JSX |        110 |          0 |         13 |        123 |
| e:\taroDemos\cloudmate\src\pages\chat\components\message-item\components\approval\done\index.module.scss | SCSS           |         35 |          0 |          4 |         39 |
| e:\taroDemos\cloudmate\src\pages\chat\components\message-item\components\approval\done\index.tsx         | TypeScript JSX |         64 |          1 |         10 |         75 |
| e:\taroDemos\cloudmate\src\pages\chat\components\message-item\components\approval\init\index.module.scss | SCSS           |         35 |          0 |          4 |         39 |
